;;;Gene;;;Inter-;Cumulative;;Number;Sum Intron;Protein;;Closest Organism (excl. Ophios&Sporothrix);Closest Organism (excl. O.novo-ulmi only);KEGG;;Blast2GO;;;;;MEROPS;;Alter.;;
OphioH327gp0791;I;+;3.066.159;3.068.348;2.190;6.238;3.066.159;3.068.348;0;0;729;F-box/LRR-repeat protein 2;Fusarium oxysporum;Ophiostoma piceae;K10268;"FBXL2_20; F-box and leucine-rich repeat protein 2/20";f-box domain containing protein;0;-;;;;N;;;
OphioH327gp0792;I;-;3.068.923;3.070.225;1.303;574;3.068.923;3.070.225;2;130;390;Putative uncharacterized protein;Togninia minima;Ophiostoma piceae;;;hypothetical protein NEUTE2DRAFT_129455;3;"C:integral to membrane; F:signal transducer activity; P:signal transduction";;;;N;;;
OphioH327gp0793;I;+;3.072.037;3.074.004;1.968;1.811;3.072.037;3.074.004;0;0;655;ATP-dependent RNA helicase mrh-4, mitochondrial;Grosmannia clavigera;Ophiostoma piceae;;;atp-dependent rna helicase mrh- mitochondrial;4;"F:helicase activity; P:mycelium development; F:nucleic acid binding; F:nucleotide binding";-;;;N;;;
OphioH327gp0794;I;+;3.074.804;3.075.617;566;799;3.074.804;3.075.369;1;56;169;Dienelactone hydrolase family protein;Grosmannia clavigera;Ophiostoma piceae;;;dienelactone hydrolase family protein;1;F:hydrolase activity;-;;;N;;;
OphioH327gp0795;I;+;3.075.987;3.077.360;1.374;369;3.075.987;3.077.360;0;0;457;Nuclear speckle splicing regulatory protein 1 homolog (Coiled-coil domain-containing protein 55 homolog);Grosmannia clavigera;Ophiostoma piceae;;;coiled-coil domain-containing protein 55;2;"F:molecular_function; C:cellular_component";;;;N;;;
OphioH327gp0796;I;-;3.077.770;3.078.116;347;409;3.077.770;3.078.116;1;98;82;Mitochondrial import inner membrane translocase subunit tim-13;Thielavia terrestris;Ophiostoma piceae;K10836;"E3.6.3.51; mitochondrial protein-transporting ATPase [EC:3.6.3.51]";tim10 ddp family zinc finger;4;"F:metal ion binding; P:protein import into mitochondrial inner membrane; C:mitochondrial inner membrane; C:mitochondrial intermembrane space protein transporter complex";-;;;N;;;
OphioH327gp0797;I;+;3.078.955;3.080.057;1.103;838;3.078.955;3.080.057;2;158;314;L-type lectin-like domain-containing protein;Myceliophthora thermophila;Ophiostoma piceae;K10082;"LMAN2, VIP36; lectin, mannose-binding 2";vesicular integral-membrane protein vip36;1;C:membrane;-;;;Y;;;
OphioH327gp0798;I;-;3.080.876;3.084.371;3.496;818;3.080.876;3.084.371;4;262;1.077;Morphogenesis-related protein MSB1 (Multicopy suppressor of bud emergence 1);Grosmannia clavigera;Ophiostoma piceae;;;morphogenesis protein;0;-;;;;N;;;
OphioH327gp0799;I;-;3.088.552;3.089.904;1.353;4.180;3.088.552;3.089.904;0;0;450;Uracil-DNA glycosylase;Grosmannia clavigera;Ophiostoma piceae;K03648;"UNG, UDG; uracil-DNA glycosylase [EC:3.2.2.27]";uracil-dna glycosylase;2;"P:DNA repair; F:hydrolase activity, hydrolyzing N-glycosyl compounds";EC:3.2.2.0;;;N;;;
OphioH327gp0800;I;-;3.091.240;3.092.694;1.455;1.335;3.091.240;3.092.694;1;69;461;Mitochondrial carrier protein MTM1 (Manganese trafficking factor for mitochondrial SOD2);Togninia minima;Ophiostoma piceae;K15119;"SLC25A39_40; solute carrier family 25, member 39/40";solute carrier family 25 member 40;2;"P:transport; C:integral to membrane";-;;;N;;;
OphioH327gp0801;I;+;3.093.484;3.095.133;1.650;789;3.093.484;3.095.133;0;0;549;U4/U6 small nuclear ribonucleoprotein;Grosmannia clavigera;Ophiostoma piceae;K12843;"PRPF3, PRP3; U4/U6 small nuclear ribonucleoprotein PRP3";u4 u6 small nuclear ribonucleoprotein;2;"F:nucleic acid binding; C:ribonucleoprotein complex";;;;N;;;
OphioH327gp0802;I;+;3.095.856;3.097.956;2.101;722;3.095.856;3.097.956;1;64;678;F-box protein pof7;Grosmannia clavigera;Ophiostoma piceae;K10295;"FBXO9; F-box protein 9";f-box protein;0;-;;;;N;;;
OphioH327gp0803;I;+;3.098.348;3.098.749;402;391;3.098.348;3.098.749;0;0;133;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;
OphioH327gp0804;I;+;3.099.596;3.101.719;2.124;846;3.099.596;3.101.719;3;186;645;Glycerol/H+ symporter;Grosmannia clavigera;Ophiostoma piceae;;;glycerol:h+ symporter;1;C:integral to membrane;-;;;N;;;
OphioH327gp0805;I;-;3.101.927;3.102.754;828;207;3.101.927;3.102.754;0;0;275;Putative uncharacterized protein;Colletotrichum gloeosporioides;Ophiostoma piceae;;;hypothetical protein CHGG_00890;4;"C:integral to membrane; F:molecular_function; P:biological_process; C:cellular_component";;;;N;;;
OphioH327gp0806;I;+;3.111.102;3.113.675;2.574;8.347;3.111.102;3.113.675;1;81;830;Putative uncharacterized protein;Magnaporthe oryzae;Ophiostoma piceae;;;hypothetical protein MGG_03625;3;"F:molecular_function; P:biological_process; C:cellular_component";;;;N;;;
OphioH327gp0807;I;-;3.114.232;3.115.053;822;556;3.114.232;3.115.053;0;0;273;Thioesterase superfamily;Grosmannia clavigera;Ophiostoma piceae;;;thioesterase superfamily protein;0;-;;;;N;;;
OphioH327gp0808;I;+;3.115.694;3.117.850;2.157;640;3.115.694;3.117.850;0;0;718;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_1835;0;-;;;;N;;;
OphioH327gp0809;I;-;3.118.071;3.118.789;719;220;3.118.071;3.118.789;1;152;188;Nuclear movement protein nudC (Nuclear distribution protein C);Grosmannia clavigera;Ophiostoma piceae;;;nuclear movement protein;0;-;;;;N;;;
OphioH327gp0810;I;+;3.119.409;3.120.602;1.194;619;3.119.409;3.120.602;0;0;397;Cdk-activating kinase assembly factor mat1;Grosmannia clavigera;Ophiostoma piceae;K10842;"MNAT1; CDK-activating kinase assembly factor MAT1";cdk-activating kinase assembly factor mat1;2;"F:metal ion binding; P:cellular process";-;;;N;;;
OphioH327gp0811;I;-;3.121.021;3.123.079;2.059;418;3.121.021;3.123.079;3;175;627;ENTH domain-containing protein C19F8.03c;Colletotrichum fioriniae;Ophiostoma piceae;;;enth domain-containing protein;1;F:binding;-;;;N;;;
OphioH327gp0812;I;+;3.125.229;3.127.614;2.386;2.149;3.125.229;3.127.614;2;181;734;Aspartyl-tRNA synthetase;Grosmannia clavigera;Ophiostoma piceae;K01876;"DARS, aspS; aspartyl-tRNA synthetase [EC:6.1.1.12]";aspartyl-trna synthetase;3;"F:ligase activity; P:translation; F:nucleotide binding";-;;;N;;;
OphioH327gp0813;I;+;3.128.332;3.129.423;1.092;717;3.128.332;3.129.423;2;171;306;Transcription elongation factor S-II (TFIIS);Grosmannia clavigera;Ophiostoma piceae;K03145;"TFIIS; transcription elongation factor S-II";transcription elongation factor s-ii;7;"F:translation elongation factor activity; P:regulation of transcription from RNA polymerase II promoter; F:zinc ion binding; P:translational elongation; F:DNA binding; P:regulation of DNA-dependent transcription, elongation; C:nucleus";-;;;N;;;
OphioH327gp0814;I;-;3.129.692;3.131.341;1.650;268;3.129.692;3.131.341;0;0;549;Cysteine synthase ;Grosmannia clavigera;Ophiostoma piceae;K01738;"cysK; cysteine synthase A [EC:2.5.1.47]";cysteine synthase-like protein;1;P:cellular amino acid biosynthetic process;-;;;N;;;
OphioH327gp0815;I;+;3.131.769;3.133.465;1.697;427;3.131.769;3.133.465;1;50;548;COG1565 domain containing protein;Grosmannia clavigera;Ophiostoma piceae;;;cog1565 domain containing protein;0;-;;;;N;;;
OphioH327gp0816;I;-;3.133.662;3.136.735;3.074;196;3.133.662;3.136.735;3;191;960;Alanyl-tRNA synthetase;Grosmannia clavigera;Ophiostoma piceae;K01872;"AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]";alanyl-trna synthetase;5;"F:alanine-tRNA ligase activity; P:alanyl-tRNA aminoacylation; F:nucleic acid binding; F:ATP binding; C:mitochondrion";EC:6.1.1.7;;;N;;;
OphioH327gp0817;I;+;3.137.698;3.139.130;1.433;962;3.137.698;3.139.130;3;287;381;ER lumen protein retaining receptor;Grosmannia clavigera;Ophiostoma piceae;;;er lumen protein retaining receptor;3;"C:integral to membrane; F:ER retention sequence binding; P:protein retention in ER lumen";-;;;N;;;
OphioH327gp0818;I;+;3.140.261;3.144.915;4.655;1.130;3.140.261;3.144.915;1;89;1.521;Kinetochore protein spc7 (NMS complex subunit spc7);Grosmannia clavigera;Ophiostoma piceae;K11563;"SPC7, SPC105; kinetochore protein Spc7/SPC105";chromosome segregation protein;0;-;;;;N;;;
OphioH327gp0819;I;+;3.146.700;3.152.285;5.586;1.784;3.146.700;3.152.285;0;0;1.861;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_5796;0;-;;;;Y;;;
OphioH327gp0820;I;+;3.153.256;3.155.832;2.577;970;3.153.256;3.155.832;1;210;788;F-box domain containing protein;Grosmannia clavigera;Ophiostoma piceae;;;f-box domain containing protein;0;-;;;;N;;;
OphioH327gp0821;I;-;3.156.254;3.159.263;3.010;421;3.156.254;3.159.263;1;61;982;F-box domain containing protein;Thielavia terrestris;Ophiostoma piceae;;;f-box domain containing protein;0;-;;;;N;;;
OphioH327gp0822;I;-;3.160.274;3.161.314;1.041;1.010;3.160.274;3.161.314;0;0;346;Ribosomal RNA-processing protein 7;Thielavia terrestris;Ophiostoma piceae;K14545;"RRP7; ribosomal RNA-processing protein 7";meiotic recombination protein dmc1;3;"F:nucleotide binding; F:molecular_function; C:cellular_component";;;;N;;;
OphioH327gp0823;I;+;3.162.923;3.164.300;1.533;1.608;3.162.923;3.164.455;0;0;510;Major facilitator superfamily transporter amine;Grosmannia clavigera;Ophiostoma piceae;;;mfs transporter;2;"C:integral to membrane; P:transmembrane transport";;;;N;;;
OphioH327gp0824;I;-;3.165.021;3.167.118;2.098;720;3.165.021;3.167.118;2;217;626;Putative vanillate O-demethylase oxidoreductase;Magnaporthe oryzae;Ophiostoma piceae;;;mosc domain-containing protein;2;"F:catalytic activity; F:binding";-;;;N;;;
OphioH327gp0825;I;+;3.170.356;3.172.527;2.172;3.237;3.170.356;3.172.527;0;0;723;F-box domain containing protein;Grosmannia clavigera;Ophiostoma piceae;;;f-box domain-containing protein;3;"F:molecular_function; P:biological_process; C:cellular_component";;;;N;;;
OphioH327gp0826;I;-;3.173.278;3.174.846;1.569;750;3.173.278;3.174.846;2;138;476;Bar adaptor protein;Grosmannia clavigera;Ophiostoma piceae;;;bar adaptor protein;2;"C:cytoplasm; P:biological_process";;;;N;;;
OphioH327gp0827;I;+;3.176.396;3.178.107;1.712;1.549;3.176.396;3.178.107;2;131;526;Cysteine desulfurase, mitochondrial (tRNA-splicing protein SPL1);Togninia minima;Ophiostoma piceae;K04487;"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]";cysteine desulfurase-like protein;9;"C:mitochondrion; P:iron-sulfur cluster assembly; P:cellular iron ion homeostasis; F:cysteine desulfurase activity; P:tRNA wobble uridine modification; F:pyridoxal phosphate binding; P:mitochondrial tRNA thio-modification; C:nucleus; P:cysteine metabolic process";EC:2.8.1.7;;;N;;;
OphioH327gp0828;I;+;3.179.383;3.179.943;561;1.275;3.179.383;3.179.943;0;0;186;Mismatched base pair and cruciform DNA recognition;Togninia minima;Ophiostoma piceae;;;mismatched base pair and cruciform dna recognition;0;-;;;;N;;;
OphioH327gp0829;I;-;3.180.247;3.182.100;1.854;303;3.180.247;3.182.100;1;57;598;Cecr1 family adenosine deaminase;Grosmannia clavigera;Ophiostoma piceae;;;adenosine amp deaminase;2;"F:deaminase activity; P:purine ribonucleoside monophosphate biosynthetic process";-;;;N;;;
OphioH327gp0830;I;+;3.183.337;3.187.512;4.176;1.236;3.183.337;3.187.512;0;0;1.391;5-oxoprolinase ;Gaeumannomyces graminis;Ophiostoma piceae;K01469;"E3.5.2.9; 5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]";hydantoinase b oxoprolinase;2;"F:5-oxoprolinase (ATP-hydrolyzing) activity; P:glutathione metabolic process";EC:3.5.2.9;;;N;;;
OphioH327gp0831;I;+;3.188.807;3.190.377;1.571;1.294;3.188.807;3.190.377;1;59;503;Indoleamine 2,3-dioxygenase 1;Gaeumannomyces graminis;Ophiostoma piceae;;;indoleamine -dioxygenase family protein;2;"F:heme binding; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen";;;;N;;;
OphioH327gp0832;I;+;3.192.194;3.193.867;1.674;1.816;3.192.194;3.193.867;0;0;557;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_691;0;-;;;;Y;;;
OphioH327gp0833;I;-;3.194.442;3.195.398;957;574;3.194.442;3.195.398;1;72;294;Cell division control protein 14;Grosmannia clavigera;Ophiostoma piceae;;;cell division control protein;1;P:cell division;-;;;N;;;
OphioH327gp0834;I;+;3.197.060;3.198.643;1.584;1.661;3.197.060;3.198.643;0;0;527;Geranylgeranyl pyrophosphate synthetase;Grosmannia clavigera;Ophiostoma piceae;K00804;"GGPS1; geranylgeranyl diphosphate synthase, type III [EC:2.5.1.1 2.5.1.10 2.5.1.29]";geranylgeranyl pyrophosphate synthetase;2;"F:transferase activity; P:isoprenoid biosynthetic process";-;;;N;;;
OphioH327gp0835;I;-;3.199.131;3.201.118;1.988;487;3.199.131;3.201.118;1;56;643;Peroxisomal membrane protein PEX29 (Peroxin-29);Grosmannia clavigera;Ophiostoma piceae;;;integral peroxisomal membrane protein;0;-;;;;N;;;
OphioH327gp0836;I;+;3.205.858;3.210.621;4.764;4.739;3.205.858;3.210.621;0;0;1.587;Dual specificity protein kinase pom1;Grosmannia clavigera;Ophiostoma piceae;K08825;"DYRK; dual-specificity tyrosine-(Y)-phosphorylation regulated kinase [EC:2.7.12.1]";cmgc dyrk dyrk2 protein kinase;1;F:kinase activity;-;;;N;;;
OphioH327gp0837;I;+;3.219.232;3.219.611;380;8.610;3.219.232;3.219.611;1;77;100;Putative uncharacterized protein; ;;;;---NA---;0;-;;;;N;;;
OphioH327gp0838;I;-;3.223.187;3.224.092;906;3.575;3.223.187;3.224.092;0;0;301;Alpha/beta-hydrolase;Nectria haematococca;Ophiostoma piceae;;;3-oxoadipate enol-lactonase;3;"F:3-oxoadipate enol-lactonase activity; P:catechol-containing compound catabolic process; F:hydrolase activity";;;;N;;;
OphioH327gp0839;I;+;3.225.738;3.226.702;965;1.645;3.225.738;3.226.702;1;71;297;DUF1711 domain containing protein;Grosmannia clavigera;Ophiostoma piceae;;;duf1711 domain containing protein;2;"F:molecular_function; P:biological_process";;;;N;;;
OphioH327gp0840;I;+;3.228.490;3.231.414;2.925;1.787;3.228.490;3.231.414;5;660;754;SPRY domain-containing protein;Colletotrichum gloeosporioides;Ophiostoma piceae;;;spry domain-containing protein;0;-;;;;N;;;
OphioH327gp0841;I;-;3.231.885;3.232.988;1.104;470;3.231.885;3.232.988;0;0;367;Mitochondrial outer membrane protein;Grosmannia clavigera;Ophiostoma piceae;;;mitochondrial outer membrane protein;2;"C:mitochondrial outer membrane; P:protein targeting to mitochondrion";;;;N;;;
OphioH327gp0842;I;-;3.233.418;3.234.055;638;429;3.233.418;3.234.055;4;323;104;DASH complex subunit dad4 (Outer kinetochore protein dad4);Zymoseptoria tritici;Zymoseptoria tritici;K11569;"DAD4, HSK2; DASH complex subunit DAD4";dash complex subunit dad4;5;"P:regulation of microtubule polymerization or depolymerization; F:microtubule binding; C:DASH complex; P:mitotic spindle organization in nucleus; C:spindle";-;;;N;;;
OphioH327gp0843;I;+;3.234.206;3.234.820;615;150;3.234.206;3.234.820;0;0;204;Chromatin-remodeling complex subunit ies6;Chaetomium globosum;Ophiostoma piceae;K11667;"INO80C, IES6; INO80 complex subunit C";major facilitator superfamily transporter quinate;3;"P:transport; C:membrane; F:transmembrane transporter activity";-;;;N;;;
OphioH327gp0844;I;+;3.236.267;3.237.054;788;1.446;3.236.267;3.237.054;3;185;200;Snare protein;Grosmannia clavigera;Ophiostoma piceae;K08516;"YKT6; synaptobrevin homolog YKT6";snare protein;10;"C:endosome; F:SNAP receptor activity; C:Golgi apparatus; C:SNARE complex; F:palmitoyltransferase activity; P:vesicle fusion; C:fungal-type vacuole; P:vacuole fusion, non-autophagic; C:integral to membrane; C:mitochondrion";-;;;N;;;
OphioH327gp0845;I;-;3.238.166;3.240.613;2.448;1.111;3.238.166;3.240.613;0;0;815;Putative uncharacterized protein;Colletotrichum sublineola;Ophiostoma piceae;;;hypothetical protein MGG_06126;2;"F:molecular_function; C:cellular_component";;;;N;;;
OphioH327gp0846;I;+;3.241.335;3.246.062;216;721;3.245.847;3.246.062;0;0;71;Putative uncharacterized protein;Chaetomium globosum;Sporothrix schenckii;;;hypothetical protein;0;-;;;;N;;;
OphioH327gp0847;I;+;3.247.494;3.247.803;310;1.431;3.247.494;3.247.803;1;55;84;Cytochrome b5;Grosmannia clavigera;Ophiostoma piceae;;;cytochrome b5;2;"F:heme binding; F:metal ion binding";-;;;N;;;
OphioH327gp0848;I;-;3.248.956;3.254.037;5.082;1.152;3.248.956;3.254.037;0;0;1.693;Forkhead box protein R1 (Forkhead box protein N5);Gaeumannomyces graminis;Ophiostoma piceae;;;fork head domain-containing protein;4;"P:regulation of transcription, DNA-dependent; F:sequence-specific DNA binding; F:sequence-specific DNA binding transcription factor activity; F:DNA binding";;;;N;;;
OphioH327gp0849;I;-;3.255.424;3.256.869;1.446;1.386;3.255.424;3.256.869;0;0;481;Molybdate transporter 1 (Sulfate transporter like protein 5.2);Grosmannia clavigera;Ophiostoma piceae;;;sulfate transporter;3;"C:integral to membrane; P:sulfate transport; F:sulfate transmembrane transporter activity";;;;N;;;
OphioH327gp0850;I;-;3.257.656;3.258.384;729;786;3.257.656;3.258.384;0;0;242;pH-response regulator protein palI/RIM9;Grosmannia clavigera;Ophiostoma piceae;;;pal1-like protein;0;-;;;;N;;;
OphioH327gp0851;I;+;3.261.100;3.261.507;408;2.715;3.261.100;3.261.507;0;0;135;Putative uncharacterized protein;Thielavia terrestris;Ophiostoma piceae;;;hypothetical protein THITE_2121390;3;"F:methyltransferase activity; F:transferase activity; P:methylation";;;;N;;;
OphioH327gp0852;I;-;3.262.555;3.263.300;746;1.047;3.262.555;3.263.300;2;116;209;ATP synthase subunit g, mitochondrial (ATPase subunit g);Grosmannia clavigera;Ophiostoma piceae;;;atp synthase subunit g;1;;-;;;N;;;
OphioH327gp0853;I;-;3.264.165;3.265.366;1.202;864;3.264.165;3.265.366;1;65;378;Xylitol dehydrogenase;Grosmannia clavigera;Ophiostoma piceae;K00004;"BDH, butB; (R,R)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.303]";sorbitol dehydrogenase;5;"P:arabinose catabolic process; P:oxidation-reduction process; F:nucleotide binding; F:zinc ion binding; F:L-arabinitol 4-dehydrogenase activity";EC:1.1.1.12;;;N;;;
OphioH327gp0854;I;-;3.267.319;3.268.599;1.281;1.952;3.267.319;3.268.599;1;60;406;Transcription initiation factor IIA large subunit (TFIIA large subunit);Grosmannia clavigera;Ophiostoma piceae;K03122;"TFIIA1, GTF2A1, TOA1; transcription initiation factor TFIIA large subunit";transcription factor tfiia complex subunit;2;"P:transcription initiation from RNA polymerase II promoter; C:transcription factor TFIIA complex";;;;N;;;
OphioH327gp0855;I;-;3.269.667;3.271.481;1.815;1.067;3.269.667;3.271.481;0;0;604;Cell division protein;Grosmannia clavigera;Ophiostoma piceae;K03363;"CDC20; cell division cycle 20, cofactor of APC complex";wd repeat-containing protein slp1;1;P:cell division;-;;;N;;;
OphioH327gp0856;I;+;3.272.659;3.273.780;1.122;1.177;3.272.659;3.273.780;0;0;373;Pre-mRNA-splicing factor cwf23 (Complexed with cdc5 protein 23);Grosmannia clavigera;Ophiostoma piceae;;;dnaj domain protein cwf23;4;"F:heat shock protein binding; F:unfolded protein binding; P:response to stress; P:protein folding";;;;N;;;
OphioH327gp0857;I;-;3.274.026;3.275.363;1.338;245;3.274.026;3.275.363;0;0;445;Aminomethyltransferase;Grosmannia clavigera;Ophiostoma piceae;K06980;"Unclassified; Poorly Characterized";transferase caf17;1;F:transferase activity;-;;;N;;;
OphioH327gp0858;I;-;3.276.373;3.280.536;4.164;1.009;3.276.373;3.280.536;3;264;1.299;Clustered mitochondria protein homolog (Protein TIF31 homolog);Gaeumannomyces graminis;Sporothrix schenckii;K03255;"TIF31, CLU1; protein TIF31";eukaryotic translation initiation factor 3 135 kda subunit;1;C:cytoplasm;;;;N;;;
OphioH327gp0859;I;+;3.282.250;3.285.369;3.120;1.713;3.282.250;3.285.369;0;0;1.039;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_4168;0;-;;;;N;;;
OphioH327gp0860;I;+;3.292.766;3.294.529;1.764;7.396;3.292.766;3.294.529;0;0;587;Ferric reductase transmembrane component 3;Pestalotiopsis fici;Ophiostoma piceae;;;ferric reductase like transmembrane component;3;"F:oxidoreductase activity; P:oxidation-reduction process; C:integral to membrane";-;;;N;;;
